customer_id,tenure_days,monthly_spend,num_tickets_30d,avg_nps,last_purchase_days_ago,churn
C001,540,120.0,1,8,30,0
C002,45,60.0,5,3,90,1
C003,365,80.0,0,9,10,0
C004,70,45.0,4,4,120,1
C005,12,20.0,3,5,200,1
C006,720,150.0,0,9,5,0
C007,180,95.0,2,7,45,0
C008,30,35.0,6,2,150,1
C009,450,110.0,1,8,25,0
C010,90,55.0,3,4,80,1
C011,1200,200.0,0,10,3,0
C012,60,40.0,4,3,100,1
C013,300,85.0,1,7,35,0
C014,25,30.0,5,2,180,1
C015,600,130.0,0,9,15,0
C016,150,70.0,2,6,50,0
C017,40,50.0,3,4,110,1
C018,800,160.0,0,9,8,0
C019,100,65.0,2,5,70,0
C020,35,45.0,4,3,140,1
C021,950,175.0,0,10,4,0
C022,75,50.0,3,4,90,1
C023,250,90.0,1,8,40,0
C024,50,35.0,5,2,160,1
C025,1100,190.0,0,10,2,0
C026,85,60.0,2,5,75,0
C027,65,45.0,3,3,105,1
C028,700,140.0,0,9,12,0
C029,130,75.0,1,7,55,0
C030,45,40.0,4,3,125,1
C031,850,155.0,0,9,7,0
C032,95,55.0,2,5,65,0
C033,55,42.0,3,3,115,1
C034,500,125.0,0,8,20,0
C035,20,25.0,6,1,200,1
C036,1050,185.0,0,10,1,0
C037,105,70.0,1,6,60,0
C038,70,48.0,3,4,95,1
C039,400,100.0,0,8,30,0
C040,80,52.0,2,5,85,0
C041,35,38.0,4,2,135,1
C042,650,135.0,0,9,18,0
C043,115,68.0,1,6,55,0
C044,60,46.0,3,3,100,1
C045,900,165.0,0,9,6,0
C046,125,72.0,1,7,50,0
C047,50,44.0,4,3,120,1
C048,750,145.0,0,9,10,0
C049,90,58.0,2,5,80,0
C050,40,39.0,3,2,130,1
