customer_id,tenure_days,monthly_spend,num_tickets_30d,avg_nps,last_purchase_days_ago,churn
C001,472,102.68,1,6.3,87,0
C002,728,87.07,1,6.0,108,1
C003,158,17.41,0,8.0,96,0
C004,266,80.81,0,7.9,7,0
C005,501,84.92,0,8.7,27,0
C006,574,83.36,1,7.5,14,0
C007,15,61.57,1,5.0,131,1
C008,914,130.97,0,10.0,25,0
C009,157,36.29,1,6.1,33,0
C010,355,58.0,0,7.8,13,0
C011,62,31.93,1,5.9,46,0
C012,136,42.97,0,5.2,30,0
C013,69,18.83,0,5.9,74,0
C014,231,32.57,0,8.2,17,0
C015,974,135.59,0,7.7,15,0
C016,41,10.0,2,4.8,31,1
C017,88,28.11,0,5.3,127,1
C018,904,121.74,0,5.9,103,0
C019,27,10.0,2,5.3,55,0
C020,349,43.59,0,8.7,2,0
C021,341,23.3,0,7.5,4,0
C022,38,22.75,2,3.6,97,1
C023,957,119.98,0,9.0,10,0
C024,305,36.23,1,5.1,113,0
C025,62,64.48,0,5.9,53,0
C026,25,35.99,4,2.8,62,1
C027,556,82.11,0,9.2,2,0
C028,880,110.52,1,6.4,117,1
C029,119,20.05,0,5.1,147,0
C030,683,121.43,1,8.1,20,0
C031,8,27.16,2,7.0,92,1
C032,82,42.27,1,4.4,107,0
C033,653,91.38,0,8.0,21,0
C034,314,73.51,1,6.4,151,0
C035,323,85.39,2,7.6,28,0
C036,8,25.1,3,1.9,177,1
C037,21,10.0,2,5.1,58,0
C038,850,111.45,0,7.6,16,0
C039,634,104.05,0,7.8,19,1
C040,491,74.92,0,8.3,3,0
C041,610,89.72,0,7.7,10,0
C042,750,132.26,0,8.8,8,0
C043,9,32.71,2,5.1,94,0
C044,114,28.97,0,5.4,83,1
C045,269,105.54,0,9.8,2,0
C046,150,10.0,0,4.5,146,0
C047,401,32.57,0,8.8,25,0
C048,281,44.26,0,9.7,21,0
C049,35,10.0,2,6.2,75,0
C050,60,34.01,0,7.6,38,0
C051,1,10.0,2,5.4,131,0
C052,520,78.85,1,6.9,58,0
C053,962,127.73,0,9.0,9,0
C054,624,47.18,0,7.9,28,1
C055,96,26.58,0,7.2,190,0
C056,885,52.11,0,7.2,4,0
C057,124,10.0,1,6.4,98,0
C058,759,58.0,2,7.1,9,0
C059,55,10.0,1,6.7,191,0
C060,1,10.0,3,5.1,193,1
C061,172,40.95,0,4.2,39,0
C062,998,128.86,0,8.2,21,0
C063,62,24.97,0,6.8,180,0
C064,780,112.81,0,7.3,6,0
C065,586,59.11,0,9.3,24,0
C066,374,52.9,1,6.9,173,0
C067,6,28.99,0,8.4,31,1
C068,18,18.68,2,5.8,171,0
C069,91,10.0,0,5.9,45,0
C070,413,70.3,1,7.5,28,0
C071,164,10.0,2,5.3,54,0
C072,177,27.2,1,5.0,112,0
C073,181,41.88,1,5.9,109,0
C074,90,45.58,0,6.0,83,0
C075,304,66.81,0,7.6,24,0
C076,33,46.58,3,2.5,59,0
C077,859,124.57,0,7.3,23,0
C078,946,109.23,1,7.8,3,0
C079,461,40.93,1,7.6,26,0
C080,841,121.35,2,8.2,28,0
C081,704,81.4,0,8.0,8,1
C082,78,26.01,1,6.1,65,0
C083,709,69.9,0,8.6,28,0
C084,771,103.33,1,6.9,69,0
C085,241,82.22,0,10.0,14,0
C086,795,155.33,1,8.0,10,0
C087,719,71.32,0,7.6,7,0
C088,618,113.2,0,7.6,29,0
C089,127,50.88,1,5.4,163,0
C090,510,103.94,2,8.7,16,0
C091,9,20.86,1,5.6,136,1
C092,658,73.9,0,7.0,28,0
C093,49,22.43,0,6.9,185,1
C094,574,100.56,0,7.3,18,0
C095,59,47.26,3,3.3,177,1
C096,333,53.31,0,8.2,3,0
C097,85,33.46,0,6.8,190,0
C098,71,53.71,1,5.2,46,0
C099,942,114.89,1,6.2,88,0
C100,141,38.6,0,4.8,113,0
C101,504,69.72,0,7.7,5,0
C102,180,26.64,0,4.9,110,1
C103,130,20.64,1,5.7,173,0
C104,998,94.43,0,9.5,9,0
C105,59,24.81,3,2.6,113,1
C106,2,10.0,0,6.0,108,0
C107,324,47.07,0,8.3,14,1
C108,44,10.89,2,4.7,87,0
C109,782,100.12,0,8.8,14,0
C110,82,15.72,0,7.8,102,0
C111,986,135.68,0,7.5,27,0
C112,268,35.34,1,7.2,19,0
C113,926,68.86,1,7.0,28,1
C114,819,135.02,0,8.0,1,0
C115,976,94.38,0,8.8,1,0
C116,330,64.02,0,8.6,10,0
C117,997,154.1,1,5.9,141,0
C118,48,48.2,0,7.3,82,0
C119,25,10.0,0,5.9,64,0
C120,592,100.65,1,6.2,149,0
C121,58,58.22,1,6.4,60,1
C122,13,10.0,3,3.6,188,1
C123,661,64.31,0,7.6,12,0
C124,755,103.34,2,7.7,5,0
C125,89,25.11,0,7.1,151,0
C126,10,43.15,3,2.1,136,1
C127,987,127.5,2,7.4,25,0
C128,415,75.51,1,4.4,163,1
C129,201,25.02,0,6.7,171,0
C130,470,35.78,0,6.1,98,1
C131,727,47.97,0,6.9,57,0
C132,714,86.49,0,8.0,13,0
C133,292,45.26,0,6.0,81,0
C134,747,81.47,1,6.1,108,1
C135,793,106.78,0,7.0,28,0
C136,320,42.43,0,7.8,28,0
C137,218,40.91,0,7.9,20,0
C138,235,22.37,1,6.5,106,0
C139,18,24.71,3,3.2,53,1
C140,20,14.51,4,4.2,135,1
C141,78,10.0,0,5.6,143,0
C142,602,91.55,1,6.7,181,0
C143,348,45.15,1,8.1,12,0
C144,809,97.37,1,4.6,141,0
C145,572,77.67,1,7.2,5,0
C146,185,61.41,0,7.8,3,0
C147,152,33.0,1,4.4,42,0
C148,56,30.0,1,5.5,142,1
C149,40,16.49,2,5.2,127,1
C150,607,87.58,0,8.6,9,0
C151,638,94.77,3,4.8,194,0
C152,246,28.11,0,9.4,11,0
C153,85,46.91,0,5.2,197,1
C154,59,37.2,5,4.7,115,0
C155,13,24.44,3,3.4,139,1
C156,604,60.38,1,6.3,95,1
C157,59,20.06,1,4.9,49,0
C158,67,27.89,0,4.4,153,0
C159,177,36.22,0,4.5,139,1
C160,50,10.0,2,4.1,94,0
C161,697,47.06,2,6.9,119,0
C162,9,31.6,2,5.0,89,0
C163,980,115.37,0,8.4,12,0
C164,31,35.36,2,5.4,148,1
C165,543,85.7,2,7.4,12,0
C166,113,10.0,0,6.5,84,0
C167,999,92.51,0,8.1,11,0
C168,176,16.41,0,3.6,112,1
C169,35,10.04,1,5.3,99,0
C170,354,42.23,1,6.6,187,0
C171,79,32.89,1,3.5,52,0
C172,663,117.04,1,7.0,28,0
C173,624,98.41,0,6.2,75,1
C174,96,54.75,1,4.6,107,0
C175,23,10.0,2,5.6,113,1
C176,81,27.54,1,3.7,69,0
C177,105,23.0,1,4.3,197,0
C178,125,25.06,0,6.2,109,1
C179,149,37.38,1,6.2,62,1
C180,260,23.43,0,8.7,10,0
C181,29,21.52,1,4.2,83,0
C182,854,136.77,1,5.8,44,0
C183,141,38.08,0,7.1,110,0
C184,927,118.82,2,6.6,130,0
C185,18,39.46,1,4.2,42,0
C186,96,27.47,2,5.2,41,0
C187,920,99.25,1,6.1,120,1
C188,387,83.89,0,7.8,20,0
C189,57,57.84,2,5.7,187,1
C190,930,116.2,1,6.8,195,0
C191,636,79.25,1,6.9,112,0
C192,439,70.86,0,9.1,14,0
C193,75,58.26,1,4.7,121,0
C194,384,45.5,1,8.6,7,0
C195,192,55.35,0,9.0,15,0
C196,50,41.25,3,2.5,111,1
C197,73,74.81,0,4.3,112,0
C198,452,47.41,2,6.3,162,1
C199,49,17.24,1,3.8,173,0
C200,976,140.37,1,6.5,71,0
