customer_id,tenure_days,monthly_spend,num_tickets_30d,avg_nps,last_purchase_days_ago,churn
C001,13,10.0,0,7.6,105,0
C002,60,10.0,0,6.0,155,0
C003,12,25.02,2,4.1,69,0
C004,495,74.45,0,8.6,2,0
C005,722,79.78,0,7.4,3,0
C006,608,99.87,1,9.0,8,0
C007,650,71.53,0,6.5,89,0
C008,44,29.94,0,5.6,168,1
C009,764,118.7,1,8.0,29,0
C010,295,48.12,0,7.9,5,0
C011,15,16.16,3,2.5,110,1
C012,837,108.08,0,5.6,151,0
C013,685,71.99,0,8.6,22,1
C014,283,10.01,2,7.2,11,0
C015,82,31.82,0,6.0,107,0
C016,761,93.18,1,7.5,16,0
C017,822,64.98,0,8.0,24,0
C018,986,137.96,1,7.3,10,0
C019,7,10.0,3,2.2,86,1
C020,242,36.22,0,7.3,5,0
C021,886,116.0,1,7.0,22,0
C022,534,98.23,0,8.6,9,0
C023,10,29.79,2,4.6,91,0
C024,499,92.81,1,7.3,18,0
C025,971,106.15,0,8.6,19,0
C026,10,27.55,2,6.5,153,1
C027,9,33.32,1,3.5,145,0
C028,257,11.84,0,8.1,29,0
C029,569,69.13,0,8.6,28,0
C030,689,87.39,1,6.1,64,0
C031,65,30.13,0,4.6,32,0
C032,237,40.2,2,6.6,176,1
C033,555,81.27,0,5.8,179,1
C034,694,58.37,0,8.4,19,0
C035,754,105.15,1,5.3,71,0
C036,32,50.1,0,6.5,75,0
C037,20,10.0,4,1.7,146,1
C038,226,20.82,0,8.5,8,0
C039,938,138.06,0,7.7,10,0
C040,49,29.85,0,6.0,87,1
C041,692,94.03,0,8.4,13,0
C042,707,121.1,0,8.3,16,0
C043,45,10.0,2,8.4,167,1
C044,136,43.06,0,5.2,192,0
C045,222,32.71,0,8.5,25,1
C046,153,37.77,2,5.5,53,0
C047,17,58.76,2,6.4,63,0
C048,805,109.35,0,7.9,26,0
C049,523,71.77,1,6.2,108,1
C050,681,81.95,0,7.7,2,0
